global_sequence,block_time,bp_id,seq,type,from,to,quantity,memo,trx_id,block_num
29770296,2018-07-17T05:42:02.000,libertyblock,1920,transfer,eosio.bpay,libertyblock,323.2316,producer block pay,e0cfbb17ee67320bac8e7ff1e557731f3cc9cc7a2ca05a06728722f52eca5962,6302988.0
29770299,2018-07-17T05:42:02.000,libertyblock,5133,transfer,eosio.vpay,libertyblock,526.015,producer vote pay,e0cfbb17ee67320bac8e7ff1e557731f3cc9cc7a2ca05a06728722f52eca5962,6302988.0
30077763,2018-07-17T06:43:07.000,bp2bp2bp2bp2,37,claimrewards,,,,,d0b5db19a6dba59d8154108b8c9cd0e2f2cffaaef460cfe7d25fd55e9993c426,6309918.0
30284780,2018-07-17T07:19:34.000,libertyblock,114,regproducer,,,,,d294888711c0b1c0718e5f229291459296de525124e264c48a5d3bde644e6c9e,6313978.0
30288046,2018-07-17T07:20:16.000,libertyblock,115,regproducer,,,,,566ae4f00660bc5e7d534d078d1cfb2fe2893bb613e256975ec8e9b5c0052b71,6314060.0
30321208,2018-07-17T07:25:53.500,sheos21sheos,156,delegatebw,sheos21sheos,,,,c68029ff14dd9984b95521ea7b4970d188a17923554dd98bfb5e845dd8d6f8db,6314681.0
30321209,2018-07-17T07:25:53.500,sheos21sheos,157,transfer,sheos21sheos,eosio.stake,-2.0,stake bandwidth,c68029ff14dd9984b95521ea7b4970d188a17923554dd98bfb5e845dd8d6f8db,6314681.0
30371409,2018-07-17T07:36:00.000,sheos21sheos,160,delegatebw,sheos21sheos,,,,06def5bbfcbe8e5e62a4fcf084e506247e5b94a9a4f9c12bcc14e276a0444c98,6315788.0
30371410,2018-07-17T07:36:00.000,sheos21sheos,161,transfer,sheos21sheos,eosio.stake,-1.0,stake bandwidth,06def5bbfcbe8e5e62a4fcf084e506247e5b94a9a4f9c12bcc14e276a0444c98,6315788.0
30374749,2018-07-17T07:36:58.000,sheos21sheos,164,claimrewards,,,,,39591b7b2d40f15711704b121826a4f987d31cf66c90d63c0df2f909f0eaed3d,6315902.0
30374760,2018-07-17T07:36:58.000,sheos21sheos,5160,transfer,eosio.vpay,sheos21sheos,214.528,producer vote pay,39591b7b2d40f15711704b121826a4f987d31cf66c90d63c0df2f909f0eaed3d,6315902.0
30386454,2018-07-17T07:39:01.500,sheos21sheos,165,delegatebw,sheos21sheos,,,,35ebb0427f33ec924d5cafe6c2824f8c56dba50617a807b647ac9a46c9d9f0da,6316136.0
30386455,2018-07-17T07:39:01.500,sheos21sheos,166,transfer,sheos21sheos,eosio.stake,-10.0,stake bandwidth,35ebb0427f33ec924d5cafe6c2824f8c56dba50617a807b647ac9a46c9d9f0da,6316136.0
30409813,2018-07-17T07:44:14.000,sheos21sheos,169,transfer,sheos21sheos,hippopotamus,-90.611,,bafa6b0e6ab6220792c47082b3d82bec9f7522b57cc1246167600376937683e1,6316701.0
30413898,2018-07-17T07:45:28.000,sheos21sheos,172,transfer,sheos21sheos,sheosgoddess,-803.0,,970b9fe71524c36679acbf3fc1da2d78ed971ce8f5663eeb869a0afc7077d1c8,6316849.0
30414680,2018-07-17T07:45:40.000,eosliquideos,43,delegatebw,eosliquideos,,,,10f1e3aa21d1ce0a36db262d2f713fd48d8c319d32554526dbc0306a6e0f3d87,6316873.0
30414681,2018-07-17T07:45:40.000,eosliquideos,44,transfer,eosliquideos,eosio.stake,-20.0,stake bandwidth,10f1e3aa21d1ce0a36db262d2f713fd48d8c319d32554526dbc0306a6e0f3d87,6316873.0
30415444,2018-07-17T07:46:00.500,sheos21sheos,175,transfer,sheos21sheos,sheosgoddess,-0.2404,,e890f884790377f090b6c23047429dc6b9a4c42aed98d3b60fee49cb410201f0,6316902.0
30437663,2018-07-17T07:53:47.500,libertyblock,116,delegatebw,libertyblock,,,,bf30ee0d27bd0064bd9485d9024e8515843544b3f628dfb5b39f6593f53a9e1a,6317800.0
30437664,2018-07-17T07:53:47.500,libertyblock,117,transfer,libertyblock,eosio.stake,-5.0,stake bandwidth,bf30ee0d27bd0064bd9485d9024e8515843544b3f628dfb5b39f6593f53a9e1a,6317800.0
30500479,2018-07-17T08:12:47.500,libertyblock,120,regproducer,,,,,4de5a88f80fea11dd3474db0bf271962c1bf77bbaae293fca1e53d9f8a322d4a,6320036.0
33197829,2018-07-17T17:36:01.500,eosfishrocks,68,claimrewards,,,,,522841697e5ed321738997ebf7492b96128c037f74d5ed8f7f432dc1ad4e4db1,6383792.0
33197840,2018-07-17T17:36:01.500,eosfishrocks,1959,transfer,eosio.bpay,eosfishrocks,182.7499,producer block pay,522841697e5ed321738997ebf7492b96128c037f74d5ed8f7f432dc1ad4e4db1,6383792.0
33197843,2018-07-17T17:36:01.500,eosfishrocks,5235,transfer,eosio.vpay,eosfishrocks,374.8725,producer vote pay,522841697e5ed321738997ebf7492b96128c037f74d5ed8f7f432dc1ad4e4db1,6383792.0
36976167,2018-07-18T05:43:02.500,libertyblock,121,claimrewards,,,,,0f86aecff7a814a9f6436369c665ae66aefb01ef0e31e36f03e8eea691ea9471,6467819.0
36976178,2018-07-18T05:43:02.500,libertyblock,1983,transfer,eosio.bpay,libertyblock,330.7159,producer block pay,0f86aecff7a814a9f6436369c665ae66aefb01ef0e31e36f03e8eea691ea9471,6467819.0
36976181,2018-07-18T05:43:02.500,libertyblock,5313,transfer,eosio.vpay,libertyblock,544.1119,producer vote pay,0f86aecff7a814a9f6436369c665ae66aefb01ef0e31e36f03e8eea691ea9471,6467819.0
37218327,2018-07-18T06:43:10.000,bp2bp2bp2bp2,38,claimrewards,,,,,421cc90addf1ba396990f47ac3d5d78e8bb2bc91fbc509d59c9fc41080f93e8e,6474964.0
37439117,2018-07-18T07:37:01.500,sheos21sheos,178,claimrewards,,,,,1fecf32250417cce2f0dc08c8e25c808437e7a5ef79b2f2c619da8b1fe0a54dd,6481367.0
37439128,2018-07-18T07:37:01.500,sheos21sheos,5334,transfer,eosio.vpay,sheos21sheos,226.3993,producer vote pay,1fecf32250417cce2f0dc08c8e25c808437e7a5ef79b2f2c619da8b1fe0a54dd,6481367.0
40111887,2018-07-18T17:37:02.000,eosfishrocks,69,claimrewards,,,,,a9c56b28f177d04051cb06b17876d83245bf4c59092f33479fcc734be09774a8,6551980.0
40111898,2018-07-18T17:37:02.000,eosfishrocks,2022,transfer,eosio.bpay,eosfishrocks,133.0778,producer block pay,a9c56b28f177d04051cb06b17876d83245bf4c59092f33479fcc734be09774a8,6551980.0
40111901,2018-07-18T17:37:02.000,eosfishrocks,5427,transfer,eosio.vpay,eosfishrocks,372.8226,producer vote pay,a9c56b28f177d04051cb06b17876d83245bf4c59092f33479fcc734be09774a8,6551980.0
